HomeTeam,GuestTeam,GoalsHomeTeam,GoalsGuestTeam
Grodig,Salzburg,2,2
Austria Vienna,Sturm Graz,0,3
Ried,Wolfsberger AC,1,0
Salzburg,Admira,2,0
Altach,Rapid Vienna,2,0
Neustadt,Grodig,2,4
Wolfsberger AC,Sturm Graz,0,2
Admira,Neustadt,1,1
Grodig,Ried,0,1
Rapid Vienna,Austria Vienna,2,3
Altach,Salzburg,4,1
Grodig,Rapid Vienna,3,1
Austria Vienna,Admira,4,0
Neustadt,Wolfsberger AC,2,0
Ried,Altach,2,1
Sturm Graz,Salzburg,1,2
Ried,Austria Vienna,1,1
Admira,Sturm Graz,0,2
Altach,Grodig,3,1
Rapid Vienna,Neustadt,3,0
Salzburg,Wolfsberger AC,2,2
Austria Vienna,Salzburg,2,4
Grodig,Admira,5,0
Neustadt,Altach,2,0
Sturm Graz,Ried,3,1
Wolfsberger AC,Rapid Vienna,1,1
Altach,Sturm Graz,2,0
Admira,Wolfsberger AC,2,1
Austria Vienna,Grodig,1,0
Ried,Neustadt,6,0
Salzburg,Rapid Vienna,1,2
Rapid Vienna,Ried,3,0
Altach,Admira,2,0
Neustadt,Salzburg,0,2
Wolfsberger AC,Austria Vienna,1,0
Austria Vienna,Altach,5,2
Sturm Graz,Neustadt,3,3
Ried,Salzburg,2,2
Admira,Rapid Vienna,1,1
Altach,Wolfsberger AC,1,0
Neustadt,Austria Vienna,1,0
Rapid Vienna,Sturm Graz,1,0
Ried,Admira,2,2
Salzburg,Grodig,3,1
Sturm Graz,Austria Vienna,2,1
Wolfsberger AC,Ried,1,2
Admira,Salzburg,1,4
Grodig,Neustadt,1,3
Rapid Vienna,Altach,1,0
Sturm Graz,Wolfsberger AC,2,0
Neustadt,Admira,0,0
Ried,Grodig,2,1
Salzburg,Altach,0,1
Austria Vienna,Rapid Vienna,2,1
Grodig,Sturm Graz,0,2
Admira,Austria Vienna,1,1
Wolfsberger AC,Neustadt,2,0
Altach,Ried,2,1
Rapid Vienna,Grodig,4,0
Salzburg,Sturm Graz,2,1
Grodig,Wolfsberger AC,2,0
Austria Vienna,Ried,0,1
Wolfsberger AC,Salzburg,3,2
Grodig,Altach,0,1
Sturm Graz,Admira,3,1
Neustadt,Rapid Vienna,0,1
Salzburg,Austria Vienna,3,1
Admira,Grodig,2,3
Rapid Vienna,Wolfsberger AC,4,1
Ried,Sturm Graz,1,2
Sturm Graz,Altach,5,0
Wolfsberger AC,Admira,2,0
Grodig,Austria Vienna,1,1
Neustadt,Ried,0,1
Rapid Vienna,Salzburg,3,3
Altach,Neustadt,3,1
Ried,Rapid Vienna,0,1
Admira,Altach,2,2
Salzburg,Neustadt,6,0
Sturm Graz,Grodig,2,1
Austria Vienna,Wolfsberger AC,1,1
Salzburg,Ried,2,1
Wolfsberger AC,Grodig,2,1
Neustadt,Sturm Graz,4,4
Rapid Vienna,Admira,1,1
Altach,Austria Vienna,2,0
Wolfsberger AC,Altach,2,0
Admira,Ried,1,0
Austria Vienna,Neustadt,2,1
Grodig,Salzburg,0,3
Sturm Graz,Rapid Vienna,2,2
Austria Vienna,Sturm Graz,0,0
Neustadt,Grodig,2,4
Ried,Wolfsberger AC,4,0
Salzburg,Admira,4,0
Altach,Rapid Vienna,1,3
Altach,Salzburg,2,2
Wolfsberger AC,Sturm Graz,1,0
Admira,Neustadt,0,0
Grodig,Ried,3,2
Rapid Vienna,Austria Vienna,4,1
Ried,Altach,4,1
Austria Vienna,Admira,0,1
Neustadt,Wolfsberger AC,2,0
Sturm Graz,Salzburg,0,0
Admira,Sturm Graz,1,2
Altach,Grodig,2,0
Rapid Vienna,Neustadt,0,0
Ried,Austria Vienna,0,2
Salzburg,Wolfsberger AC,3,0
Grodig,Rapid Vienna,0,2
Wolfsberger AC,Rapid Vienna,0,5
Austria Vienna,Salzburg,1,1
Grodig,Admira,0,1
Neustadt,Altach,0,1
Sturm Graz,Ried,0,0
Mattersburg,Salzburg,2,1
Grodig,Altach,2,1
Rapid Vienna,Ried,3,0
Sturm Graz,Admira,1,1
Wolfsberger AC,Austria Vienna,0,2
Salzburg,Rapid Vienna,1,2
Admira,Mattersburg,2,1
Austria Vienna,Altach,3,1
Ried,Wolfsberger AC,0,0
Sturm Graz,Grodig,1,1
Grodig,Austria Vienna,2,2
Admira,Salzburg,2,2
Mattersburg,Ried,4,1
Altach,Sturm Graz,0,1
Rapid Vienna,Wolfsberger AC,2,1
Ried,Salzburg,1,4
Wolfsberger AC,Sturm Graz,0,2
Altach,Mattersburg,3,1
Austria Vienna,Rapid Vienna,2,5
Grodig,Admira,2,3
Austria Vienna,Mattersburg,5,1
Wolfsberger AC,Grodig,3,2
Admira,Ried,3,1
Salzburg,Altach,2,0
Sturm Graz,Rapid Vienna,2,2
Rapid Vienna,Grodig,3,0
Mattersburg,Wolfsberger AC,1,0
Ried,Sturm Graz,1,0
Salzburg,Austria Vienna,2,2
Altach,Admira,1,2
Admira,Austria Vienna,0,1
Grodig,Ried,4,1
Rapid Vienna,Mattersburg,2,4
Sturm Graz,Salzburg,2,3
Wolfsberger AC,Altach,0,2
Altach,Rapid Vienna,2,0
Admira,Wolfsberger AC,1,0
Austria Vienna,Ried,1,1
Salzburg,Grodig,4,2
Mattersburg,Sturm Graz,2,0
Sturm Graz,Austria Vienna,2,0
Wolfsberger AC,Salzburg,1,1
Grodig,Mattersburg,1,1
Ried,Altach,2,0
Rapid Vienna,Admira,2,0
Ried,Rapid Vienna,0,1
Altach,Grodig,1,0
Austria Vienna,Wolfsberger AC,1,0
Salzburg,Mattersburg,4,2
Admira,Sturm Graz,0,1
Grodig,Sturm Graz,3,0
Wolfsberger AC,Ried,1,1
Altach,Austria Vienna,1,2
Mattersburg,Admira,0,4
Rapid Vienna,Salzburg,1,2
Salzburg,Admira,8,0
Austria Vienna,Grodig,2,1
Ried,Mattersburg,0,1
Sturm Graz,Altach,3,1
Wolfsberger AC,Rapid Vienna,2,1
Mattersburg,Altach,2,1
Admira,Grodig,0,0
Salzburg,Ried,2,1
Sturm Graz,Wolfsberger AC,2,0
Rapid Vienna,Austria Vienna,1,2
Rapid Vienna,Sturm Graz,2,1
Altach,Salzburg,1,0
Grodig,Wolfsberger AC,1,0
Ried,Admira,1,1
Mattersburg,Austria Vienna,1,2
Austria Vienna,Salzburg,1,1
Wolfsberger AC,Mattersburg,2,1
Admira,Altach,1,1
Sturm Graz,Ried,3,2
Grodig,Rapid Vienna,2,1
Austria Vienna,Admira,1,1
Altach,Wolfsberger AC,2,1
Mattersburg,Rapid Vienna,1,6
Ried,Grodig,1,0
Salzburg,Sturm Graz,3,1
Sturm Graz,Mattersburg,0,0
Wolfsberger AC,Admira,4,0
Grodig,Salzburg,1,1
Ried,Austria Vienna,4,2
Rapid Vienna,Altach,3,1
Salzburg,Wolfsberger AC,1,1
Admira,Rapid Vienna,2,1
Altach,Ried,1,3
Mattersburg,Grodig,0,2
Austria Vienna,Sturm Graz,2,1
Wolfsberger AC,Austria Vienna,2,0
Grodig,Altach,0,3
Rapid Vienna,Ried,2,1
Sturm Graz,Admira,1,1
Mattersburg,Salzburg,0,0
Austria Vienna,Altach,1,2
Admira,Mattersburg,1,1
Ried,Wolfsberger AC,1,0
Sturm Graz,Grodig,2,0
Salzburg,Rapid Vienna,2,0
Altach,Sturm Graz,2,2
Grodig,Austria Vienna,0,1
Mattersburg,Ried,3,3
Rapid Vienna,Wolfsberger AC,3,0
Admira,Salzburg,1,2
Ried,Salzburg,1,0
Wolfsberger AC,Sturm Graz,0,0
Altach,Mattersburg,1,2
Grodig,Admira,2,2
Austria Vienna,Rapid Vienna,0,3
Austria Vienna,Mattersburg,2,2
Wolfsberger AC,Grodig,2,0
Admira,Ried,0,0
Salzburg,Altach,2,0
Sturm Graz,Rapid Vienna,0,2
Ried,Sturm Graz,0,1
Altach,Admira,1,2
Mattersburg,Wolfsberger AC,1,1
Rapid Vienna,Grodig,3,2
Salzburg,Austria Vienna,4,1
Wolfsberger AC,Altach,1,0
Admira,Austria Vienna,0,3
Grodig,Ried,2,2
Rapid Vienna,Mattersburg,3,0
Sturm Graz,Salzburg,0,0
Salzburg,Grodig,3,0
Admira,Wolfsberger AC,0,2
Austria Vienna,Ried,3,1
Mattersburg,Sturm Graz,1,0
Altach,Rapid Vienna,0,0
Wolfsberger AC,Salzburg,1,1
Grodig,Mattersburg,0,1
Rapid Vienna,Admira,0,4
Ried,Altach,0,2
Sturm Graz,Austria Vienna,1,1
Austria Vienna,Wolfsberger AC,0,0
Admira,Sturm Graz,1,0
Altach,Grodig,1,0
Salzburg,Mattersburg,2,1
Ried,Rapid Vienna,1,0
Grodig,Sturm Graz,1,3
Wolfsberger AC,Ried,1,0
Altach,Austria Vienna,2,0
Mattersburg,Admira,0,3
Rapid Vienna,Salzburg,1,1
Sturm Graz,Altach,4,1
Wolfsberger AC,Rapid Vienna,2,2
Austria Vienna,Grodig,0,2
Ried,Mattersburg,1,0
Salzburg,Admira,1,0
Salzburg,Ried,2,1
Admira,Grodig,1,1
Mattersburg,Altach,0,0
Sturm Graz,Wolfsberger AC,1,0
Rapid Vienna,Austria Vienna,1,0
Mattersburg,Austria Vienna,0,9
Altach,Salzburg,1,3
Grodig,Wolfsberger AC,0,1
Ried,Admira,1,0
Rapid Vienna,Sturm Graz,2,0
Grodig,Rapid Vienna,2,0
Wolfsberger AC,Mattersburg,2,0
Admira,Altach,2,1
Sturm Graz,Ried,0,0
Austria Vienna,Salzburg,0,2
Austria Vienna,Admira,3,1
Altach,Wolfsberger AC,1,1
Ried,Grodig,2,0
Salzburg,Sturm Graz,1,1
Mattersburg,Rapid Vienna,0,2
Wolfsberger AC,Admira,1,2
Grodig,Salzburg,1,2
Rapid Vienna,Altach,1,1
Ried,Austria Vienna,0,5
Sturm Graz,Mattersburg,1,1
Admira,Rapid Vienna,1,3
Altach,Ried,0,0
Austria Vienna,Sturm Graz,3,0
Mattersburg,Grodig,2,3
Salzburg,Wolfsberger AC,1,0
Rapid Vienna,Ried,5,0
Altach,Wolfsberger AC,1,0
Sturm Graz,Salzburg,3,1
St. Polten,Austria Vienna,1,2
Mattersburg,Admira,0,1
Salzburg,Wolfsberger AC,1,1
Ried,Sturm Graz,1,0
Altach,Rapid Vienna,1,0
Austria Vienna,Mattersburg,3,1
St. Polten,Admira,2,1
Mattersburg,Sturm Graz,0,2
Wolfsberger AC,Ried,1,0
Admira,Altach,1,2
Salzburg,St. Polten,2,0
Austria Vienna,Rapid Vienna,1,4
Ried,Salzburg,0,2
Altach,St. Polten,3,1
Mattersburg,Wolfsberger AC,3,1
Rapid Vienna,Admira,4,0
Sturm Graz,Austria Vienna,3,1
St. Polten,Sturm Graz,1,3
Admira,Ried,1,0
Salzburg,Mattersburg,3,1
Wolfsberger AC,Rapid Vienna,1,1
Austria Vienna,Altach,3,1
Sturm Graz,Altach,3,1
Wolfsberger AC,Admira,5,0
Mattersburg,St. Polten,1,1
Rapid Vienna,Salzburg,0,0
Ried,Austria Vienna,1,1
Sturm Graz,Rapid Vienna,1,1
Altach,Mattersburg,2,1
Austria Vienna,Wolfsberger AC,4,1
St. Polten,Ried,2,3
Admira,Salzburg,0,4
Ried,Altach,2,1
Wolfsberger AC,St. Polten,1,1
Admira,Sturm Graz,0,3
Salzburg,Austria Vienna,4,1
Rapid Vienna,Mattersburg,3,0
